quarter_id,indicator_code,value,value_status,source_file
2008Q4,underemployment_change_yoy,-0.685,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q4,gdp_growth_yoy,3.1,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q4,gdp_growth_yoy_accel,-2.3,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q4,gdp_level,2.78308e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q4,gdp_growth_qoq,11.7164,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q4,cpi_index,74.4394,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q4,inflation_yoy,8.8818,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q4,inflation_yoy_accel,-1.3986,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q4,growth_employment_gap,2.415,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2009Q1,underemployment_change_qoq,0.749,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q1,underemployment_rate,18.207,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q1,unemployment_rate,7.691,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q1,employment_rate,92.309,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q1,lfpr,63.277,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q1,underemployment_change_yoy,-0.693,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q1,gdp_growth_yoy,1.1,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2009Q1,gdp_growth_yoy_accel,-2,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2009Q1,gdp_level,2.42035e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2009Q1,gdp_growth_qoq,-13.0332,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2009Q1,cpi_index,75.0292,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2009Q1,inflation_yoy,6.976,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2009Q1,inflation_yoy_accel,-1.9058,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2009Q1,growth_employment_gap,0.407,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2009Q2,underemployment_change_qoq,0.711,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q2,underemployment_rate,18.918,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2009Q2,unemployment_rate,7.475,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
